com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00335448,SOLUTIONS AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00335448,,,,,$93.71,2013-11-30
C00544502,SOLUTIONS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00544502,,DAN MAFFEI,$199.00,,$199.00,2013-06-30
C00437400,"SOONERS UNITED FOR LEADERSHIP, LOYALTY AND YOU (SULLY) FUND",http://docquery.fec.gov/cgi-bin/fecimg/?C00437400,,JOHN SULLIVAN,"$2,500.00","$24,497.70","$11,633.28",2013-10-31
C00430371,SOUTH DAKOTA FIRST,http://docquery.fec.gov/cgi-bin/fecimg/?C00430371,,TIM JOHNSON,"$103,318.90","$79,486.40","$227,720.89",2013-06-30
C00361410,SOUTHERN CALIFORNIA FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00361410,,BRAD SHERMAN,"$20,000.00","$42,043.10",$188.19,2013-06-30
C00471334,SOUTHWEST LEADERSHIP FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00471334,"UDALL, TOM",UDALL,"$45,673.60","$67,716.40","$37,597.87",2013-06-30
C00376756,SPEAK UP AMERICA POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00376756,,JOE WILSON,"$5,000.00","$2,500.00","$2,823.39",2013-06-30
C00494898,"SPENDING CUTS OVER TOTAL TAXATION PAC, INC.",http://docquery.fec.gov/cgi-bin/fecimg/?C00494898,"BROWN, SCOTT P.",BROWN,,"$23,650.80",,2013-08-27
C00404418,STAND TALL AMERICA PAC (STAPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00404418,"THORNBERRY, MAC",THORNBERRY,"$25,000.00","$27,878.70","$36,172.46",2013-06-30
C00323923,STONEWALL DEMOCRATIC CLUB,http://docquery.fec.gov/cgi-bin/fecimg/?C00323923,,,,$904.40,"$1,743.31",2013-09-30
C00497842,STRATEGY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00497842,,RON JOHNSON,"$68,000.00","$34,951.20","$59,278.04",2013-06-30
C00488189,STRENGTHEN AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00488189,,JOHN F TIERNEY,,"$3,700.00","$17,186.75",2013-09-30
C00501478,SUPPORT TO ENSURE VICTORY EVERYWHERE PAC-STEVE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00501478,,MR STEVE STIVERS,"$28,000.00","$22,993.80","$10,317.32",2013-06-30
C00453324,SUPPORTING CONSERVATIVES OF TODAY AND TOMORROW (SCOTT PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00453324,,SCOTT GARRETT VICTORY COMMITTEE,"$106,500.00","$97,387.40","$61,551.74",2013-11-30
C00409623,SYNERGY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00409623,"LARSON, JOHN",,"$77,500.00","$92,965.20","$90,073.40",2013-06-30
C00481242,TAKIN BACK AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00481242,,W TODD AKIN,,"$5,102.00","$36,880.04",2013-06-30
C00546325,TAKING AN INDEPENDENT PERSPECTIVE TOGETHER FOR OUR NATION PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00546325,,,,,,
C00461137,TAKING OUR MAJORITY PAC (T.O.M.PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00461137,,MCCLINTOCK FOR CONGRESS,,$31.50,"$3,092.85",2013-11-30
C00448019,TAKING THE HILL PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00448019,,,,,,
C00363689,TALLATCHEE CREEK INC. PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00363689,"SESSIONS, JEFF",SESSIONS,"$67,500.00","$76,517.20","$9,922.28",2013-11-30
C00506428,TAR HEEL POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00506428,,MIKE MCINTYRE,,$414.20,"$6,585.00",2013-09-30
C00493239,TAXPAYERS INCENSED BY GOVERNMENT EXCESS AND REGULATION PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00493239,,DENNIS ROSS,"$14,000.00","$9,024.40","$10,150.45",2013-09-30
C00460188,TEJANO POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00460188,"RODRIGUEZ, CIRO",RODRIGUEZ,,,,
C00388421,TENN POLITICAL ACTION COMMITTEE INC (TENN PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00388421,"ALEXANDER, LAMAR",,"$94,600.00","$71,294.50","$28,624.44",2013-07-15
C00361816,TEX-USA FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00361816,"EDWARDS, REP. CHET",EDWARDS,,"$3,078.30",$82.90,2013-06-25
C00439398,TEXAS FIRST PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00439398,,HENRY C. CUELLAR,"$6,000.00","$6,800.00","$16,522.30",2013-06-30
C00340661,TEXAS FREEDOM FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00340661,"BARTON, JOE",BARTON,"$7,001.10","$13,059.50","$12,864.61",2013-09-30
C00481531,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00481531,"MCCAUL, MICHAEL",MCCAUL,"$11,000.00","$4,868.40","$6,453.00",2013-10-31
C00409680,"THE BADGER FUND, INC.",http://docquery.fec.gov/cgi-bin/fecimg/?C00409680,,"PETRI, TOM","$2,500.00","$8,500.00","$11,814.08",2013-11-30
C00328468,THE COMMITTEE FOR THE PRESERVATION OF CAPITALISM,http://docquery.fec.gov/cgi-bin/fecimg/?C00328468,,CHARLES BOUSTANY,"$168,616.50","$145,231.70","$59,936.50",2013-10-31
C00379479,THE HAWKEYE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00379479,,CHARLES E. GRASSLEY,"$143,100.00","$104,835.80","$51,201.01",2013-06-30
C00381681,THE KEYSTONE FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00381681,,MIKE DOYLE,"$12,400.00","$4,175.00","$10,594.85",2013-06-30
C00202861,THE SENATE VICTORY FUND PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00202861,"COCHRAN, THAD",COCHRAN,"$101,119.90","$139,651.80","$509,343.37",2013-10-31
C00359448,THE SPIRIT FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00359448,"STEARNS, CLIFFORD B.",,"$1,401.90","$10,557.00",,2013-02-28
C00548206,THEMIS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00548206,,TREY GOWDY,,,,
C00425439,THOROUGHBRED PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00425439,"WHITFIELD, ED",WHITFIELD,"$62,500.00","$42,011.60","$240,394.31",2013-06-30
C00473116,THREE RIVERS POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00473116,,KURT SCHRADER,,"$1,500.00",$995.50,2013-06-30
C00460857,TIDEWATER POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00460857,,,,$322.00,$196.85,2013-06-30
C00542993,TIME TO UNITE LEAD AND SERVE WITH INTEGRITY - TULSI PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00542993,"GABBARD, TULSI",GABBARD,$400.00,$252.80,$147.22,2013-06-30
C00505297,TITLETOWN PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00505297,"RIBBLE, REID",RIBBLE,"$49,558.60","$43,528.70","$6,459.43",2013-10-31
C00513523,TN4UPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00513523,,,"$7,500.00","$2,800.00","$12,387.84",2013-06-30
C00484055,TOGETHER ENCOURAGING DEMOCRACY - T.E.D. PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00484055,"DEUTCH, THEODORE",,"$3,000.00",$691.30,"$9,737.04",2013-06-30
C00525030,TOGETHER EVERYONE REALIZES REAL IMPACT PAC AKA TERRI PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00525030,,TERRI A SEWELL,"$1,000.00","$2,097.00","$7,237.41",2013-06-30
C00364174,TOGETHER FOR OUR MAJORITY POLITICAL ACTION COMMITTEE (TOMPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00364174,,,$538.40,"$5,103.00","$375,757.05",2013-10-31
C00495887,TOMORROW IS MEANINGFUL PAC-TIM PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00495887,"SCOTT, TIMOTHY E",SCOTT,"$45,000.00","$28,551.60","$42,021.20",2013-06-30
